rock_name,long,lat,SiO2n,TiO2n,Al2O3n,FeO*n,MnOn,MgOn,CaOn,Na2On,K2On,P2O5n
Andesite,-122.7160,46.8760,58.41,1.47,16.28,9.36,0.17,3.11,6.65,3.53,0.74,0.29
Andesite,-122.7910,46.8210,59.10,1.59,15.86,8.57,0.13,3.11,6.88,3.28,1.17,0.31
Andesite,-122.7360,46.8100,61.40,1.47,16.15,7.45,0.16,2.49,5.50,4.17,0.91,0.30
Andesite,-122.7330,46.7920,57.21,1.84,15.44,10.26,0.17,3.29,6.99,3.57,0.93,0.30
Andesite,-122.4700,46.6160,62.44,0.79,17.97,6.73,0.13,2.08,5.37,3.30,0.90,0.30
Basaltic andesite,-122.3550,46.5820,55.05,1.33,17.82,8.57,0.15,4.54,8.66,2.93,0.72,0.23
Basaltic andesite,-122.4850,46.5370,56.79,1.97,15.92,9.90,0.20,3.30,7.07,3.45,0.98,0.42
Basaltic andesite,-122.4230,46.5380,53.21,1.12,19.82,7.65,0.14,4.41,9.93,3.17,0.32,0.23
Andesite,-122.2450,46.6970,57.67,1.26,16.82,7.61,0.12,4.22,7.71,3.22,1.08,0.28
Basaltic andesite aphanite,-121.6680,46.9200,53.12,1.52,19.73,8.78,0.13,2.65,10.53,2.94,0.38,0.21
Basaltic andesite aphanite,-121.6280,46.9180,52.98,1.54,19.89,8.77,0.13,2.63,10.47,2.95,0.39,0.24
Basaltic andesite aphanite,-121.6560,46.9270,55.00,1.24,18.44,7.81,0.19,4.43,9.26,2.57,0.84,0.22
Dacite aphanite,-121.6780,46.9240,63.40,0.81,18.22,4.77,0.03,2.14,5.31,2.85,2.29,0.18
Dacite aphanite,-121.6490,46.9290,69.19,0.52,15.69,3.74,0.05,0.83,3.00,3.94,2.90,0.13
Dacite aphanite,-121.6500,46.9200,71.59,0.66,14.74,2.85,0.08,0.94,4.17,2.52,2.34,0.10
Quartz monzonite,-121.5600,46.9300,58.32,1.12,18.13,6.77,0.11,3.84,7.18,3.53,0.78,0.22
Quartz monzonite,-121.5600,46.9300,68.26,0.62,15.32,3.99,0.08,1.38,3.59,3.74,2.90,0.12
Quartz monzonite,-121.5600,46.9300,67.61,0.65,15.79,4.20,0.08,1.45,3.65,3.84,2.60,0.13
Quartz monzonite,-121.5600,46.9300,66.97,0.54,16.78,3.68,0.07,1.93,4.46,3.78,1.65,0.15
Quartz monzonite,-121.5600,46.9300,72.61,0.39,14.56,2.76,0.04,0.47,1.66,3.99,3.44,0.08
Quartz monzonite,-121.5600,46.9300,71.77,0.39,14.55,3.54,0.06,0.40,2.08,4.17,2.95,0.09
Dacite tuff,-121.6050,46.9480,67.75,1.03,17.59,3.11,0.06,1.94,2.81,3.64,1.99,0.08
Quartz diorite,-121.6100,46.8900,67.60,0.50,16.79,3.28,0.04,1.69,4.51,4.07,1.42,0.11
Quartz diorite,-121.6100,46.8900,67.74,0.54,16.59,3.57,0.07,1.71,4.07,3.68,1.91,0.12
Rhyolite aphanite,-121.3048,46.8114,77.54,0.06,12.28,0.82,0.01,0,0.52,3.36,5.40,0.01
Granite,-121.4296,46.8690,76.01,0.16,12.83,1.24,0.02,0.14,1.00,3.69,4.88,0.03
Granite,-121.3981,46.8610,76.98,0.13,12.74,1.07,0.02,0.42,0.61,2.97,5.05,0.02
Granite,-121.3624,46.8084,77.24,0.11,12.84,0.72,0.01,0.10,0.71,3.05,5.21,0.01
Granite,-121.4028,46.8561,77.51,0.10,12.99,0.47,0.01,0.29,0.47,2.89,5.27,0.01
Granite,-121.3627,46.8015,77.64,0.07,12.29,0.78,0.01,0,0.57,3.06,5.57,0.01
Granite,-121.3525,46.8152,77.96,0.09,12.62,0.53,0.02,0.03,0.86,3.51,4.37,0.01
Granite,-121.3579,46.8201,77.99,0.08,12.62,0.48,0.01,0,0.55,3.38,4.89,0.01
Granite,-121.4012,46.8596,78.14,0.06,12.60,0.46,0.01,0,0.36,3.27,5.10,0.00
Granite,-121.3472,46.8050,70.01,0.42,15.45,3.10,0.04,0.72,3.03,4.65,2.47,0.11
Granite,-121.3112,46.7872,70.00,0.32,15.12,3.36,0.04,0.50,3.42,4.43,2.72,0.08
Granite,-121.3644,46.7952,70.36,0.32,14.85,2.92,0.05,1.11,2.57,4.70,3.05,0.08
Granite,-121.3238,46.7848,70.43,0.42,15.51,3.46,0.04,0.63,2.72,4.18,2.51,0.11
Granite,-121.3181,46.7885,70.61,0.40,15.72,2.66,0.04,0.74,2.97,4.42,2.35,0.10
Granite,-121.3493,46.7787,70.62,0.37,15.10,3.20,0.07,1.03,2.61,4.41,2.50,0.09
Granite,-121.4280,46.8686,70.63,0.39,14.76,3.09,0.06,0.57,2.21,4.70,3.49,0.10
Granite,-121.3326,46.7810,70.71,0.41,14.87,3.37,0.06,0.60,2.74,4.22,2.92,0.10
Granite,-121.2943,46.8219,71.00,0.34,15.03,3.03,0.04,0.45,2.61,4.41,3.00,0.08
Granite,-121.3449,46.7677,71.27,0.32,14.59,3.51,0.06,0.58,2.28,4.12,3.19,0.08
Granite,-121.3641,46.7903,71.35,0.30,15.09,2.56,0.05,0.44,2.49,4.65,3.00,0.07
Granite,-121.3203,46.7898,71.35,0.36,15.25,2.76,0.04,0.59,2.79,4.05,2.72,0.09
Granite,-121.4378,46.8360,71.36,0.28,15.09,2.53,0.05,0.97,2.01,3.90,3.75,0.06
Granite,-121.2944,46.8030,71.42,0.38,14.95,2.70,0.03,0.74,3.10,3.95,2.64,0.09
Granite,-121.3684,46.7861,71.47,0.31,14.86,3.19,0.04,0.83,1.84,4.15,3.23,0.07
Granite,-121.2912,46.8251,71.63,0.33,15.08,2.72,0.04,0.44,2.58,4.44,2.66,0.08
Granite,-121.3140,46.7950,71.65,0.32,14.99,2.77,0.04,0.46,2.76,3.95,2.98,0.08
Granite,-121.3657,46.7801,71.66,0.31,14.97,2.64,0.05,0.40,1.98,4.40,3.52,0.07
Granite,-121.3621,46.7969,71.66,0.38,15.41,3.01,0.05,0.39,2.05,4.25,2.71,0.09
Granite,-121.3673,46.7831,71.72,0.31,14.74,3.02,0.04,0.88,1.82,4.28,3.12,0.07
Granite,-121.3530,46.8057,71.74,0.29,15.33,1.84,0.03,0.45,2.90,4.00,3.36,0.06
Granite,-121.2879,46.8247,71.91,0.29,14.77,2.72,0.04,0.39,2.35,4.43,3.03,0.07
Granite,-121.2915,46.8221,71.99,0.28,14.84,2.53,0.04,0.45,2.27,4.52,3.02,0.06
Granite,-121.3633,46.7948,72.07,0.30,14.65,2.77,0.04,0.39,2.14,4.22,3.34,0.08
Granite,-121.2935,46.8306,72.09,0.30,14.41,2.92,0.05,0.38,2.25,4.34,3.19,0.07
Granite,-121.3623,46.7882,72.16,0.29,14.86,2.91,0.04,0.38,1.51,4.75,3.04,0.07
Granite,-121.2914,46.8299,72.21,0.31,14.68,2.87,0.04,0.37,2.03,4.27,3.15,0.07
Granite,-121.2954,46.7983,72.21,0.28,14.80,2.69,0.03,0.38,2.54,4.06,2.94,0.07
Granite,-121.3475,46.7638,72.31,0.30,14.37,3.00,0.05,0.36,2.00,4.30,3.24,0.07
Granite,-121.3227,46.7831,72.29,0.34,15.02,2.62,0.03,0.48,2.21,4.04,2.87,0.09
Granite,-121.3625,46.7921,72.35,0.34,15.14,2.67,0.04,0.45,1.94,4.73,2.26,0.08
Granite,-121.2929,46.8300,72.42,0.30,14.50,2.71,0.05,0.35,2.26,4.40,2.94,0.07
Granite,-121.4472,46.8958,72.67,0.24,14.69,2.37,0.03,0.61,2.11,3.98,3.24,0.05
Granite,-121.3395,46.8170,72.79,0.26,14.51,1.55,0.02,0.87,2.32,4.37,3.25,0.06
Granite,-121.3714,46.8532,72.93,0.19,15.02,1.83,0.03,0.74,1.81,4.03,3.37,0.05
Granite,-121.4489,46.8960,73.15,0.24,14.34,2.23,0.04,0.30,2.00,4.26,3.39,0.05
Granite,-121.3447,46.8161,73.22,0.22,14.83,1.67,0.02,0.27,2.37,3.89,3.47,0.05
Granite,-121.4252,46.8353,73.30,0.24,14.12,2.24,0.04,0.38,1.83,4.04,3.75,0.05
Granite,-121.3638,46.7938,73.35,0.23,14.43,1.87,0.04,0.18,1.80,4.26,3.79,0.05
Granite,-121.4383,46.8409,73.38,0.25,14.28,2.03,0.03,0.74,1.97,3.65,3.62,0.05
Granite,-121.3776,46.7920,73.45,0.21,14.32,1.90,0.03,0.79,1.83,3.76,3.66,0.05
Granite,-121.3009,46.8103,73.56,0.26,14.47,1.70,0.02,0.45,2.17,4.05,3.26,0.06
Granite,-121.4246,46.8354,73.59,0.22,14.29,1.79,0.04,0.76,1.90,3.85,3.52,0.04
Granite,-121.4264,46.8685,73.72,0.25,13.85,2.04,0.04,0.38,1.78,3.90,3.98,0.06
Granite,-121.3574,46.8178,73.75,0.18,14.71,1.44,0.02,0.14,2.23,4.25,3.25,0.04
Granite,-121.4569,46.8952,73.77,0.23,13.97,2.04,0.03,0.50,1.95,3.82,3.64,0.05
Granite,-121.2933,46.7970,73.84,0.25,13.81,2.14,0.03,0.17,1.95,3.86,3.88,0.07
Granite,-121.4408,46.8442,73.85,0.20,14.08,1.81,0.04,0.58,1.68,3.69,4.03,0.04
Granite,-121.3694,46.7974,73.94,0.21,14.09,1.66,0.03,0.83,1.64,3.56,4.00,0.04
Granite,-121.4503,46.8600,73.96,0.23,13.83,1.93,0.04,0.49,1.77,3.89,3.81,0.06
Granite,-121.4595,46.8662,73.99,0.29,13.96,1.82,0.02,0.60,2.00,3.84,3.43,0.05
Granite,-121.3524,46.7990,73.73,0.29,13.81,3.08,0.03,0.33,1.66,3.92,3.09,0.05
Granite,-121.4564,46.8609,74.05,0.21,14.28,1.66,0.02,0.73,2.06,3.48,3.46,0.05
Granite,-121.3133,46.8015,74.12,0.25,14.69,1.07,0.02,0.27,2.18,4.10,3.25,0.05
Granite,-121.4096,46.8549,74.14,0.28,13.44,2.01,0.04,0.68,1.47,3.30,4.57,0.06
Granite,-121.4552,46.8951,74.15,0.21,13.54,2.08,0.04,0.36,1.78,3.52,4.28,0.04
Granite,-121.4584,46.8620,74.18,0.22,13.94,1.99,0.02,0.24,1.74,3.71,3.92,0.05
Granite,-121.3050,46.8111,74.26,0.24,13.69,1.98,0.02,0.27,2.11,3.84,3.54,0.05
Granite,-121.4570,46.8702,74.28,0.25,14.02,1.58,0.03,0.27,2.05,3.96,3.52,0.05
Granite,-121.3717,46.7888,74.01,0.18,14.16,2.17,0.04,0.84,1.69,3.94,2.92,0.04
Granite,-121.3024,46.8056,74.45,0.22,14.09,1.57,0.02,0.20,2.04,3.75,3.62,0.05
Granite,-121.3479,46.8129,74.50,0.21,14.19,1.22,0.02,0.27,2.10,3.54,3.91,0.04
Granite,-121.3732,46.7996,74.60,0.18,14.28,1.16,0.03,0.74,1.71,3.57,3.69,0.04
Granite,-121.3049,46.8013,74.64,0.20,14.20,1.39,0.02,0.13,2.29,3.94,3.15,0.04
Granite,-121.2898,46.8299,74.66,0.29,13.37,2.11,0.03,0.35,1.97,3.89,3.27,0.07
Granite,-121.3615,46.8016,74.78,0.24,14.05,1.87,0.03,0.30,1.35,3.49,3.84,0.06
Granite,-121.3165,46.7877,75.05,0.18,13.95,1.01,0.02,0.30,1.83,3.63,3.99,0.04
Granite,-121.4005,46.8141,74.33,0.21,13.65,1.76,0.03,0.79,1.60,3.63,3.95,0.04
Granite,-121.3766,46.7905,75.14,0.20,13.49,1.72,0.03,0.21,1.22,3.64,4.32,0.04
Granite,-121.3980,46.8125,75.15,0.19,13.29,1.54,0.04,0.21,1.52,3.98,4.03,0.04
Granite,-121.3772,46.7941,75.21,0.15,13.55,1.32,0.03,0.90,1.33,3.31,4.17,0.03
Granite,-121.3629,46.8016,75.27,0.18,13.88,1.63,0.02,0.17,1.66,3.73,3.41,0.04
Granite,-121.4144,46.8615,75.32,0.19,13.05,1.70,0.03,0.25,1.21,3.52,4.70,0.03
Granite,-121.4488,46.8778,75.33,0.22,13.11,1.58,0.02,0.59,1.19,2.74,5.18,0.04
Granite,-121.4471,46.8774,75.03,0.29,13.23,1.78,0.03,0.32,1.48,3.57,4.22,0.05
Granite,-121.3717,46.7988,75.44,0.21,13.85,1.00,0.05,0.16,2.02,4.34,2.90,0.03
Granite,-121.4552,46.8952,75.94,0.12,13.59,1.09,0.02,0.20,1.54,3.38,4.10,0.02
Granite,-121.4239,46.8683,76.18,0.16,13.22,0.76,0.02,0.16,1.41,3.51,4.55,0.03
Granite,-121.3646,46.8119,76.23,0.13,13.06,1.10,0.02,0.36,1.02,3.27,4.78,0.03
Granite,-121.4042,46.8139,76.26,0.15,13.05,1.23,0.02,0.07,1.23,3.43,4.54,0.03
Granite,-121.3555,46.8169,76.30,0.15,13.03,1.21,0.02,0.08,1.05,3.54,4.60,0.02
Granite,-121.3132,46.7947,75.36,0.20,13.80,1.04,0.01,0.10,1.65,3.59,4.21,0.04
Granite,-121.3772,46.8609,75.42,0.17,13.47,1.56,0.02,0.12,1.52,3.73,3.95,0.03
Granite,-121.4148,46.8587,76.78,0.13,12.70,1.13,0.01,0.12,0.95,3.21,4.94,0.03
Granite,-121.3503,46.8093,77.10,0.17,13.20,1.08,0.03,0.70,1.23,3.17,3.30,0.03
Granite,-121.4552,46.8952,77.20,0.10,12.96,0.87,0.02,0.48,0.59,2.84,4.93,0.02
Granite,-121.3033,46.8035,77.28,0.14,12.86,0.68,0.01,0.16,1.61,3.35,3.88,0.03
Granodiorite,-121.2938,46.7979,65.77,0.57,16.43,5.13,0.07,0.94,4.15,4.34,2.44,0.17
Granite,-121.4655,46.8617,76.36,0.16,13.68,0.41,0.01,0.01,1.37,3.42,4.57,0.01
Granite,-121.3629,46.8095,76.43,0.12,12.96,1.10,0.02,0.04,1.00,3.42,4.89,0.02
Granodiorite,-121.4946,46.8897,67.80,0.66,16.48,3.99,0.11,2.06,2.08,4.20,2.45,0.17
Granodiorite,-121.4425,46.8589,68.02,0.52,15.79,4.34,0.05,1.21,2.55,4.41,2.93,0.19
Granodiorite,-121.3135,46.8020,68.04,0.48,15.92,4.02,0.06,0.95,3.66,4.40,2.33,0.14
Granodiorite,-121.2928,46.8250,68.50,0.46,16.04,2.92,0.05,1.28,3.94,4.50,2.19,0.11
Granodiorite,-121.4874,46.8899,68.64,0.55,15.18,4.17,0.08,1.39,2.96,4.26,2.64,0.13
Granodiorite,-121.4946,46.8915,65.84,0.82,16.60,5.06,0.11,1.67,3.92,4.22,1.52,0.23
Granodiorite,-121.3092,46.7875,65.88,0.63,16.73,4.42,0.07,1.39,4.67,4.37,1.66,0.19
Granodiorite,-121.4016,46.8546,66.52,0.82,17.27,4.90,0.07,2.19,2.51,4.23,1.24,0.24
Granodiorite,-121.3170,46.7879,70.04,0.41,15.83,2.81,0.05,0.64,3.23,4.55,2.32,0.11
Granodiorite,-121.4570,46.8738,66.71,0.66,15.87,4.72,0.09,1.46,3.60,4.06,2.65,0.19
Granodiorite,-121.4515,46.8787,69.81,0.48,15.05,3.32,0.07,1.46,3.36,3.56,2.78,0.11
Quartz diorite,-121.2933,46.8118,61.90,0.83,16.67,6.91,0.16,2.06,5.11,3.94,2.17,0.25
Granodiorite,-121.2954,46.8040,69.34,0.52,15.77,3.60,0.04,0.99,3.59,4.39,1.62,0.14
Granodiorite,-121.3491,46.7721,69.39,0.44,15.32,3.64,0.07,0.76,3.23,4.02,3.01,0.11
Granodiorite,-121.2913,46.8021,69.64,0.43,16.11,3.42,0.04,0.69,3.15,4.78,1.62,0.12
Quartz diorite,-121.2909,46.8018,63.18,0.72,17.38,6.04,0.11,1.29,5.13,4.03,1.87,0.25
Quartz diorite,-121.2874,46.8214,64.04,0.56,17.53,5.54,0.10,0.86,4.65,4.69,1.83,0.19
Quartz diorite,-121.3033,46.8035,64.69,0.58,17.31,5.38,0.09,0.77,4.21,4.46,2.30,0.21
Quartz diorite,-121.2887,46.8218,65.23,0.54,16.89,5.02,0.08,0.68,4.30,4.74,2.33,0.19
Quartz diorite,-121.2946,46.8031,62.69,0.67,18.60,4.68,0.06,1.62,4.34,5.16,1.97,0.21
Quartz diorite,-121.2884,46.8103,62.74,0.81,17.32,6.25,0.08,1.41,4.64,4.87,1.65,0.24
Quartz diorite,-121.4981,46.8963,62.96,1.00,16.90,6.29,0.15,2.01,4.96,4.40,1.06,0.27
Quartz diorite,-121.2865,46.8100,63.04,0.73,17.52,5.09,0.11,1.27,5.08,4.71,2.22,0.23
Quartz diorite,-121.2902,46.8248,66.62,0.53,16.71,4.22,0.09,0.81,4.13,4.75,1.98,0.16
Dacite,-121.4006,46.8739,66.26,0.69,18.62,3.92,0.08,0.72,2.90,5.31,1.44,0.05
Monzogranite,-122.4462,44.1157,73.82,0.36,13.65,2.11,0.07,0.42,1.77,4.19,3.54,0.06
Andesite,-122.3260,44.2297,58.56,1.00,17.46,6.63,0.12,4.18,7.14,3.56,1.16,0.19
Quartz monzonite,-122.6354,43.6102,67.01,0.72,15.07,4.68,0.13,1.75,4.31,3.72,2.44,0.15
Quartz monzodiorite,-122.3681,44.5868,64.96,0.84,15.75,4.76,0.08,2.71,4.08,4.06,2.61,0.15
Quartz monzodiorite,-122.4619,44.1207,70.64,0.50,15.25,2.45,0.03,0.83,2.64,4.16,3.40,0.10
Quartz monzodiorite,-122.2490,44.7165,62.85,0.86,16.73,5.27,0.08,3.04,5.37,4.05,1.55,0.19
Granodiorite,-121.7787,46.7802,66.35,0.67,15.47,4.23,0.06,2.17,4.31,4.03,2.58,0.12
Granodiorite,-121.7263,46.7832,65.62,0.69,15.55,4.46,0.07,2.50,4.73,3.90,2.35,0.12
Granodiorite,-121.7298,46.7907,65.37,0.68,15.84,4.50,0.07,2.27,4.74,4.04,2.34,0.13
Granodiorite,-121.7343,46.7774,65.39,0.71,15.57,4.49,0.07,2.53,4.83,3.92,2.34,0.13
Granodiorite,-121.7670,46.7644,67.11,0.66,15.31,4.05,0.08,1.72,3.86,3.82,3.27,0.12
Granodiorite,-121.7163,46.7666,68.73,0.57,14.86,3.66,0.05,1.46,3.36,3.96,3.24,0.11
Granodiorite,-121.7436,46.7732,65.56,0.69,15.67,4.45,0.08,2.44,4.69,3.85,2.45,0.12
Granodiorite,-121.7489,46.7727,65.66,0.70,15.53,4.40,0.07,2.52,4.67,4.02,2.31,0.13
Granodiorite,-121.7105,46.7689,69.79,0.51,14.61,3.07,0.03,1.31,3.08,3.98,3.54,0.09
Granodiorite,-121.6801,46.7704,67.79,0.62,15.22,3.83,0.08,1.56,3.71,3.90,3.16,0.12
Dacite,-121.7457,46.7921,66.10,0.60,16.79,4.06,0.06,2.08,4.14,4.51,1.50,0.16
Granodiorite,-121.7456,46.7922,68.24,0.54,14.98,3.64,0.05,1.85,4.03,3.87,2.70,0.10
Granodiorite,-121.7467,46.7687,65.98,0.66,15.75,4.34,0.07,2.10,4.57,3.93,2.46,0.13
Granodiorite,-121.6957,46.7585,68.24,0.62,15.19,3.57,0.07,1.57,3.41,4.06,3.16,0.11
Granodiorite,-121.7476,46.7571,67.89,0.60,15.06,3.88,0.09,1.56,3.56,3.87,3.38,0.11
Granodiorite,-121.7218,46.7576,68.37,0.67,15.70,2.97,0.03,1.73,3.28,4.00,3.12,0.12
Granodiorite,-121.7827,46.7863,66.68,0.69,15.40,4.12,0.07,2.00,4.25,3.97,2.69,0.12
Dacite,-121.5361,46.8687,63.64,1.00,15.51,6.52,0.18,1.39,4.54,3.98,2.89,0.34
Granodiorite,-121.6092,46.8938,66.49,0.55,16.17,3.86,0.03,1.97,4.83,4.25,1.72,0.13
Granodiorite,-121.5885,46.9174,68.57,0.61,14.89,3.87,0.07,1.36,3.50,4.05,2.97,0.11
Dacite,-122.8381,43.6821,63.48,1.17,15.40,6.81,0.13,1.97,5.03,3.69,2.00,0.31
Rhyolite,-122.8011,43.5532,83.73,0.17,10.28,0.69,0.02,0.25,1.53,2.24,1.08,<0.05
Basaltic andesite,-122.8909,43.5281,54.82,1.30,18.69,8.47,0.13,3.69,8.53,3.38,0.73,0.26
Andesite,-121.8033,47.1690,60.53,0.94,17.19,6.16,0.13,3.27,7.84,3.08,0.66,0.21
Andesite,-121.8109,47.1792,61.97,0.97,16.55,6.05,0.11,2.92,5.46,3.69,2.09,0.21
Granite,-122.4493,44.1187,73.79,0.38,13.67,2.15,0.06,0.38,1.76,4.40,3.35,0.05
Granite,-122.4413,44.1187,73.90,0.37,13.52,2.27,0.02,0.51,1.31,4.16,3.89,0.04
Basaltic andesite dike,-122.4413,44.1187,54.56,1.26,17.63,8.48,0.17,4.45,7.34,3.81,2.03,0.27
Andesite sill,-122.6852,43.3131,57.96,1.29,18.52,7.95,0.13,1.89,7.35,3.36,1.26,0.28
Basaltic andesite sill,-122.6694,43.3074,56.61,1.44,17.16,9.74,0.19,2.63,7.14,3.64,1.21,0.25
Andesite,-122.4447,43.4397,62.01,1.04,16.66,6.20,0.08,2.41,5.54,3.89,1.93,0.25
Andesite,-122.4524,43.4339,60.26,0.96,17.15,6.44,0.10,3.02,6.52,3.74,1.58,0.22
Dacite tuff,-122.4425,43.3246,68.21,0.86,15.58,3.92,0.16,1.22,3.23,3.94,2.71,0.19
Basaltic andesite,-122.4115,43.3419,53.53,1.27,17.44,8.23,0.14,5.40,8.97,3.60,0.91,0.50
Dacite,-122.5605,43.3476,68.28,0.80,15.24,4.09,0.11,1.18,3.22,4.32,2.57,0.20
Andesite,-122.5232,43.0484,57.41,0.94,17.70,6.60,0.12,4.40,7.66,3.73,1.24,0.20
Andesite,-122.2419,44.0669,58.13,1.04,17.61,6.90,0.12,3.91,7.55,3.40,1.18,0.15
Dacite tuff,-122.2582,44.0957,66.94,1.00,15.58,4.88,0.14,1.68,3.52,4.00,2.04,0.22
Basaltic andesite,-122.0819,43.9691,54.32,1.28,17.43,8.82,0.17,4.52,7.71,3.51,1.46,0.79
Andesite,-122.1930,43.9806,60.18,1.34,16.79,7.21,0.14,2.21,5.39,4.30,1.86,0.57
Andesite,-122.2486,43.9864,57.32,1.05,18.67,6.74,0.10,3.11,7.44,3.98,1.31,0.29
Andesite,-122.2411,44.0151,57.15,1.06,19.18,6.54,0.10,3.07,7.70,3.58,1.37,0.25
Andesite,-122.0356,44.0842,62.48,0.76,16.99,5.53,0.10,2.59,5.67,4.01,1.70,0.16
Andesite,-122.1317,44.1475,62.65,0.74,17.17,5.52,0.12,2.28,5.76,4.05,1.56,0.14
Andesite,-122.1317,44.1475,61.24,0.81,17.91,5.62,0.10,2.65,6.31,3.87,1.33,0.16
Andesite,-122.1317,44.1475,60.44,0.86,17.74,6.11,0.10,2.92,6.17,3.97,1.53,0.16
Basaltic andesite dike,-122.0911,44.0784,53.71,1.00,17.98,7.72,0.13,6.72,8.42,3.44,0.72,0.16
Andesite,-122.1631,44.1130,62.20,0.85,17.27,5.77,0.09,2.57,5.46,3.74,1.88,0.14
Andesite,-122.0435,44.8035,57.19,1.70,14.73,9.35,0.17,2.61,8.94,3.53,1.41,0.37
Dacite,-122.3410,44.7920,68.16,0.49,15.43,4.84,0.18,0.56,2.65,5.43,2.12,0.14
Diorite sill,-122.2446,44.7977,56.06,0.92,18.50,6.07,0.10,4.13,10.04,3.11,0.93,0.14
Diorite sill,-122.2285,44.7977,55.40,1.09,18.07,7.33,0.13,4.92,8.84,2.92,1.01,0.28
Andesite sill,-122.2367,44.8092,57.61,1.08,16.69,6.86,0.13,4.65,8.11,3.64,1.02,0.20
Andesite sill,-122.2617,44.8668,59.85,0.84,17.55,6.04,0.10,3.52,6.96,3.41,1.57,0.15
Dacite dike,-122.2932,44.8207,70.28,0.44,15.37,2.88,0.06,1.46,2.98,3.16,3.26,0.10
Basaltic andesite,-122.2932,44.8207,56.52,1.03,17.92,7.12,0.12,4.91,8.16,3.14,0.86,0.22
Diorite sill,-122.1566,44.8380,59.50,1.31,20.54,8.11,0.09,2.23,3.85,1.96,2.36,0.05
Dacite,-122.1566,44.8380,67.52,0.46,16.57,3.40,0.08,2.00,4.97,3.67,1.26,0.08
Basaltic andesite,-122.1483,44.8207,56.92,0.88,19.13,6.05,0.11,4.10,7.74,4.22,0.70,0.15
Diorite sill,-122.1960,44.7747,55.50,1.09,18.48,7.42,0.14,4.43,8.66,3.35,0.60,0.32
Granodiorite stock,-122.3336,44.8323,72.49,0.58,16.79,1.72,0.01,1.79,2.60,2.95,0.99,0.09
Granodiorite dike,-122.3329,44.7862,65.16,0.62,16.71,3.92,0.09,2.48,4.62,3.11,3.15,0.14
Andesite,-122.4261,45.0567,58.49,0.93,17.87,6.70,0.12,3.72,6.87,3.99,1.16,0.15
Rhyolite,-122.3368,45.0279,72.89,0.36,15.68,2.33,0.05,1.02,2.52,1.75,3.32,0.08
Basaltic andesite,-122.2881,45.0164,54.82,0.97,17.66,6.83,0.12,6.38,7.86,4.27,0.86,0.24
Andesite,-122.3287,45.0279,59.54,0.80,18.71,5.71,0.10,3.54,6.33,3.89,1.20,0.18
Rhyolite,-122.1109,45.0509,73.69,0.44,13.90,2.67,0.07,0.42,3.03,2.59,3.14,0.05
Andesite,-122.1111,45.0682,61.63,0.82,17.79,5.68,0.10,2.92,5.60,3.96,1.34,0.15
Dacite dike,-122.1273,45.0682,66.67,0.65,16.64,3.72,0.07,0.90,4.19,4.73,2.26,0.16
Diorite sill,-122.0620,45.0106,53.87,0.87,20.71,6.74,0.12,3.77,9.38,3.85,0.57,0.11
Basaltic andesite,-122.0937,44.9646,56.88,1.00,18.52,6.63,0.13,3.93,8.42,3.64,0.69,0.17
Basaltic andesite,-122.1498,44.9301,55.46,0.85,19.06,6.81,0.14,5.29,7.89,3.51,0.83,0.15
Andesite,-122.2306,44.9473,61.23,0.84,17.88,5.52,0.10,2.58,6.50,3.56,1.65,0.13
Andesite dike,-122.2306,44.9473,60.36,0.79,18.59,5.51,0.11,2.93,7.12,3.41,1.03,0.13
Andesite,-122.1993,45.0164,59.51,0.87,18.65,6.21,0.07,3.21,7.53,2.96,0.83,0.16
Rhyolite dike,-122.1923,45.0912,75.61,0.12,13.73,1.50,0.02,0.74,1.14,4.38,2.73,0.03
Andesite,-122.4151,44.8898,60.02,0.87,18.76,6.37,0.11,3.07,5.88,3.32,1.46,0.13
Dacite tuff,-122.4946,44.8323,66.33,0.69,16.54,8.68,0.05,3.00,2.45,1.12,1.02,0.12
Andesite,-122.3222,44.1245,59.29,1.02,17.25,6.57,0.13,3.44,7.32,3.64,1.07,0.27
Basaltic andesite dike,-122.3457,44.1014,54.81,0.97,18.19,6.96,0.13,5.47,9.15,3.26,0.88,0.18
Andesite dike,-122.2898,44.0842,62.18,0.75,17.88,5.38,0.10,3.27,5.38,3.59,1.25,0.21
Andesite dike,-122.3607,44.0497,57.64,1.80,16.05,9.42,0.17,3.44,6.11,3.82,1.23,0.32
Andesite,-122.5330,44.3316,57.15,1.76,16.02,9.64,0.24,2.90,7.07,3.68,1.15,0.39
Basalt,-122.5890,44.3374,51.87,1.54,20.46,8.56,0.11,3.73,10.13,2.73,0.57,0.28
Basaltic andesite,-122.5332,44.3431,55.02,1.90,15.95,9.64,0.19,4.20,7.97,3.55,1.03,0.55
Dacite,-122.6199,44.2913,64.23,0.75,16.11,7.49,0.20,0.62,4.88,4.39,0.99,0.33
Andesite,-122.4436,44.2396,58.81,1.14,17.51,6.55,0.11,3.17,7.35,3.37,1.75,0.24
Gabbro sill,-122.5931,44.1532,52.08,1.33,20.53,7.70,0.13,3.54,10.80,3.18,0.50,0.21
Andesite sill,-122.5132,44.1360,59.06,1.03,17.60,6.47,0.12,3.15,7.46,3.43,1.48,0.20
Rhyolite,-122.5132,44.1360,77.37,0.26,12.64,1.36,0.03,0.31,1.44,2.78,3.79,0.03
